organism,regional_centre,antibiotic,year,susceptible_n,tested_n,susceptible_pct,source_report_year,source_table,source_url,extracted_date,reported_pct,computed_pct,flags
Escherichia coli,RC19,meropenem,2023,322,819,39.3,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,39.3,39.32,
Escherichia coli,RC19,meropenem,2024,14,584,2.4,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,2.4,2.4,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC19,piperacillin-tazobactam,2023,267,818,32.6,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,32.6,32.64,
Escherichia coli,RC19,piperacillin-tazobactam,2024,208,584,35.6,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,35.6,35.62,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC20,amikacin,2023,207,256,80.9,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,80.9,80.86,
Escherichia coli,RC20,amikacin,2024,586,699,83.8,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,83.8,83.83,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC20,cefotaxime,2023,12,242,5.0,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,5.0,4.96,
Escherichia coli,RC20,cefotaxime,2024,273,697,39.2,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,39.2,39.17,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC20,ceftazidime,2023,12,238,5.0,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,5.0,5.04,
Escherichia coli,RC20,ceftazidime,2024,404,695,58.1,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,58.1,58.13,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC20,ciprofloxacin,2023,22,256,8.6,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,8.6,8.59,
Escherichia coli,RC20,ciprofloxacin,2024,100,699,14.3,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,14.3,14.31,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC20,ertapenem,2023,72,151,47.7,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,47.7,47.68,
Escherichia coli,RC20,ertapenem,2024,541,699,77.4,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,77.4,77.4,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC20,imipenem,2023,136,232,58.6,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,58.6,58.62,
Escherichia coli,RC20,imipenem,2024,467,699,66.8,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,66.8,66.81,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC20,levofloxacin,2023,33,231,14.3,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,14.3,14.29,
Escherichia coli,RC20,levofloxacin,2024,106,697,15.2,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,15.2,15.21,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC20,meropenem,2023,154,256,60.2,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,60.2,60.16,
Escherichia coli,RC20,meropenem,2024,553,699,79.1,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,79.1,79.11,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC20,piperacillin-tazobactam,2023,45,256,17.6,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,17.6,17.58,
Escherichia coli,RC20,piperacillin-tazobactam,2024,283,699,40.5,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,40.5,40.49,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC21,amikacin,2023,4,43,9.3,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,9.3,9.3,
Escherichia coli,RC21,amikacin,2024,83,172,48.3,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,48.3,48.26,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC21,cefotaxime,2023,3,35,8.6,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,8.6,8.57,
Escherichia coli,RC21,cefotaxime,2024,6,163,3.7,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,3.7,3.68,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC21,ceftazidime,2023,4,38,10.5,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,10.5,10.53,
Escherichia coli,RC21,ceftazidime,2024,11,167,6.6,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,6.6,6.59,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC21,ciprofloxacin,2023,1,43,2.3,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,2.3,2.33,
Escherichia coli,RC21,ciprofloxacin,2024,14,172,8.1,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,8.1,8.14,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC21,ertapenem,2023,5,5,,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,,100.0,pct_suppressed_in_source
Escherichia coli,RC21,ertapenem,2024,30,75,40.0,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,40.0,40.0,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC21,imipenem,2023,22,43,51.2,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,51.2,51.16,
Escherichia coli,RC21,imipenem,2024,85,171,49.7,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,49.7,49.71,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC21,levofloxacin,2023,3,39,7.7,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,7.7,7.69,
Escherichia coli,RC21,levofloxacin,2024,15,161,9.3,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,9.3,9.32,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC21,meropenem,2023,19,43,44.2,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,44.2,44.19,
Escherichia coli,RC21,meropenem,2024,75,172,43.6,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,43.6,43.6,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC21,piperacillin-tazobactam,2023,3,43,7.0,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,7.0,6.98,
Escherichia coli,RC21,piperacillin-tazobactam,2024,39,167,23.4,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,23.4,23.35,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC1,amikacin,2023,103,362,28.5,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,28.5,28.45,
Klebsiella pneumoniae,RC1,amikacin,2024,0,10,,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,0.0,"pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC1,cefotaxime,2023,42,362,11.6,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,11.6,11.6,
Klebsiella pneumoniae,RC1,cefotaxime,2024,0,10,,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,0.0,"pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC1,ceftazidime,2023,49,362,13.5,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,13.5,13.54,
Klebsiella pneumoniae,RC1,ceftazidime,2024,0,10,,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,0.0,"pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC1,ciprofloxacin,2023,48,362,13.3,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,13.3,13.26,
Klebsiella pneumoniae,RC1,ciprofloxacin,2024,0,10,,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,0.0,"pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC1,ertapenem,2023,92,362,25.4,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,25.4,25.41,
Klebsiella pneumoniae,RC1,ertapenem,2024,0,10,,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,0.0,"pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC1,imipenem,2023,103,362,28.5,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,28.5,28.45,
Klebsiella pneumoniae,RC1,imipenem,2024,0,10,,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,0.0,"pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC1,levofloxacin,2023,72,362,19.9,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,19.9,19.89,
Klebsiella pneumoniae,RC1,levofloxacin,2024,0,10,,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,0.0,"pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC1,meropenem,2023,99,362,27.3,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,27.3,27.35,
Klebsiella pneumoniae,RC1,meropenem,2024,0,10,,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,0.0,"pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC1,piperacillin-tazobactam,2023,77,362,21.3,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,21.3,21.27,
Klebsiella pneumoniae,RC1,piperacillin-tazobactam,2024,0,10,,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,0.0,"pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC2,amikacin,2023,267,859,31.1,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,31.1,31.08,
Klebsiella pneumoniae,RC2,amikacin,2024,1028,3341,30.8,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,30.8,30.77,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC2,cefotaxime,2023,45,573,7.9,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,7.9,7.85,
Klebsiella pneumoniae,RC2,cefotaxime,2024,298,3341,8.9,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,8.9,8.92,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC2,ceftazidime,2023,68,431,15.8,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,15.8,15.78,
Klebsiella pneumoniae,RC2,ceftazidime,2024,67,730,9.2,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,9.2,9.18,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC2,ciprofloxacin,2023,85,854,10.0,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,10.0,9.95,
Klebsiella pneumoniae,RC2,ciprofloxacin,2024,378,3341,11.3,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,11.3,11.31,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC2,ertapenem,2023,88,354,24.9,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,24.9,24.86,
Klebsiella pneumoniae,RC2,ertapenem,2024,561,2276,24.6,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,24.6,24.65,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC2,imipenem,2023,181,854,21.2,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,21.2,21.19,
Klebsiella pneumoniae,RC2,imipenem,2024,688,3341,20.6,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,20.6,20.59,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC2,levofloxacin,2023,6,75,8.0,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,8.0,8.0,
Klebsiella pneumoniae,RC2,levofloxacin,2024,32,216,14.8,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,14.8,14.81,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC2,meropenem,2023,208,854,24.4,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,24.4,24.36,
Klebsiella pneumoniae,RC2,meropenem,2024,849,3341,25.4,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,25.4,25.41,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC2,piperacillin-tazobactam,2023,174,837,20.8,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,20.8,20.79,
Klebsiella pneumoniae,RC2,piperacillin-tazobactam,2024,618,3283,18.8,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,18.8,18.82,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC3,amikacin,2023,69,143,48.3,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,48.3,48.25,
Klebsiella pneumoniae,RC3,amikacin,2024,134,240,55.8,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,55.8,55.83,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC3,cefotaxime,2023,58,143,40.6,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,40.6,40.56,
Klebsiella pneumoniae,RC3,cefotaxime,2024,111,240,46.3,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,46.3,46.25,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC3,ceftazidime,2023,60,143,42.0,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,42.0,41.96,
Klebsiella pneumoniae,RC3,ceftazidime,2024,113,240,47.1,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,47.1,47.08,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC3,ciprofloxacin,2023,61,143,42.7,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,42.7,42.66,
Klebsiella pneumoniae,RC3,ciprofloxacin,2024,116,240,48.3,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,48.3,48.33,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC3,ertapenem,2023,79,143,55.2,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,55.2,55.24,
Klebsiella pneumoniae,RC3,ertapenem,2024,147,240,61.3,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,61.3,61.25,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC3,imipenem,2023,80,143,55.9,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,55.9,55.94,
Klebsiella pneumoniae,RC3,imipenem,2024,149,240,62.1,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,62.1,62.08,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC3,levofloxacin,2023,62,143,43.4,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,43.4,43.36,
Klebsiella pneumoniae,RC3,levofloxacin,2024,120,240,50.0,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,50.0,50.0,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC3,meropenem,2023,81,143,56.6,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,56.6,56.64,
Klebsiella pneumoniae,RC3,meropenem,2024,153,240,63.8,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,63.8,63.75,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC3,piperacillin-tazobactam,2023,36,143,25.2,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,25.2,25.17,
Klebsiella pneumoniae,RC3,piperacillin-tazobactam,2024,57,240,23.8,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,23.8,23.75,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC4,amikacin,2023,366,1080,33.9,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,33.9,33.89,
Klebsiella pneumoniae,RC4,amikacin,2024,350,799,43.8,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,43.8,43.8,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC4,cefotaxime,2023,317,1064,29.8,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,29.8,29.79,
Klebsiella pneumoniae,RC4,cefotaxime,2024,0,0,,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,,"no_isolates_tested,pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC4,ceftazidime,2023,371,1037,35.8,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,35.8,35.78,
Klebsiella pneumoniae,RC4,ceftazidime,2024,2,3,,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,66.67,"pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC4,ciprofloxacin,2023,294,1071,27.5,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,27.5,27.45,
Klebsiella pneumoniae,RC4,ciprofloxacin,2024,182,548,33.2,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,33.2,33.21,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC4,ertapenem,2023,48,167,28.7,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,28.7,28.74,
Klebsiella pneumoniae,RC4,ertapenem,2024,0,0,,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,,"no_isolates_tested,pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC4,imipenem,2023,578,1065,54.3,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,54.3,54.27,
Klebsiella pneumoniae,RC4,imipenem,2024,0,0,,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,,"no_isolates_tested,pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC4,levofloxacin,2023,0,1,,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,,0.0,pct_suppressed_in_source
Klebsiella pneumoniae,RC4,levofloxacin,2024,104,250,41.6,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,41.6,41.6,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC4,meropenem,2023,578,1066,54.2,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,54.2,54.22,
Klebsiella pneumoniae,RC4,meropenem,2024,64,466,13.7,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,13.7,13.73,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC4,piperacillin-tazobactam,2023,427,1076,39.7,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,39.7,39.68,
Klebsiella pneumoniae,RC4,piperacillin-tazobactam,2024,0,0,,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,,"no_isolates_tested,pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Klebsiella pneumoniae,RC5,amikacin,2023,203,283,71.7,2023,Table 3.11,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,71.7,71.73,
Klebsiella pneumoniae,RC5,amikacin,2024,350,511,68.5,2024,Table 2.11,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,68.5,68.49,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
