organism,regional_centre,antibiotic,year,susceptible_n,tested_n,susceptible_pct,source_report_year,source_table,source_url,extracted_date,reported_pct,computed_pct,flags
Escherichia coli,RC2,ceftazidime,2023,96,549,17.5,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,17.5,17.49,
Escherichia coli,RC2,ceftazidime,2024,130,382,34.0,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,34.0,34.03,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC2,ciprofloxacin,2023,130,1575,8.3,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,8.3,8.25,
Escherichia coli,RC2,ciprofloxacin,2024,270,4041,6.7,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,6.7,6.68,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC2,ertapenem,2023,458,961,47.7,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,47.7,47.66,
Escherichia coli,RC2,ertapenem,2024,1495,3047,49.1,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,49.1,49.06,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC2,imipenem,2023,771,1578,48.9,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,48.9,48.86,
Escherichia coli,RC2,imipenem,2024,1858,4040,46.0,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,46.0,45.99,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC2,levofloxacin,2023,10,127,7.9,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,7.9,7.87,
Escherichia coli,RC2,levofloxacin,2024,9,81,11.1,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,11.1,11.11,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC2,meropenem,2023,861,1574,54.7,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,54.7,54.7,
Escherichia coli,RC2,meropenem,2024,2212,4041,54.7,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,54.7,54.74,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
