organism,antibiotic,year,susceptible_n,tested_n,susceptible_pct,source_report_year,source_table,source_url,extracted_date,reported_pct,computed_pct,flags
Acinetobacter baumannii,cefepime,2018,587,4457,13.2,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,13.2,13.17,
Acinetobacter baumannii,cefepime,2019,1040,8271,12.6,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,12.6,12.57,
Acinetobacter baumannii,cefepime,2019,1040,8271,12.6,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,12.6,12.57,
Acinetobacter baumannii,cefepime,2019,1040,8271,12.6,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,12.6,12.57,
Acinetobacter baumannii,cefepime,2020,587,6571,8.9,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,8.9,8.93,
Acinetobacter baumannii,cefepime,2020,587,6571,8.9,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,8.9,8.93,
Acinetobacter baumannii,cefepime,2020,587,6571,8.9,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,8.9,8.93,
Acinetobacter baumannii,cefepime,2021,1086,11986,9.1,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,9.1,9.06,
Acinetobacter baumannii,cefepime,2021,1086,11986,9.1,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,9.1,9.06,
Acinetobacter baumannii,cefepime,2021,1086,11986,9.1,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,9.1,9.06,
Acinetobacter baumannii,cefepime,2022,1280,11900,10.7,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,10.7,10.76,
Acinetobacter baumannii,cefepime,2022,1280,11900,10.7,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,10.7,10.76,
Acinetobacter baumannii,cefepime,2022,1280,11900,10.7,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,10.7,10.76,
Acinetobacter baumannii,cefepime,2023,808,7240,11.2,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,11.2,11.16,
Acinetobacter baumannii,cefepime,2023,808,7240,11.2,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,11.2,11.16,
Acinetobacter baumannii,cefepime,2024,869,9741,8.9,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,8.9,8.92,
Acinetobacter baumannii,ceftazidime,2017,355,3202,11.1,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,11.1,11.09,
Acinetobacter baumannii,ceftazidime,2017,355,3202,11.1,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,11.1,11.09,
Acinetobacter baumannii,ceftazidime,2017,355,3202,11.1,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,11.1,11.09,
Acinetobacter baumannii,ceftazidime,2018,575,4164,13.8,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,13.8,13.81,
Acinetobacter baumannii,ceftazidime,2018,575,4164,13.8,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,13.8,13.81,
Acinetobacter baumannii,ceftazidime,2018,575,4164,13.8,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,13.8,13.81,
Acinetobacter baumannii,ceftazidime,2019,905,7453,12.1,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,12.1,12.14,
Acinetobacter baumannii,ceftazidime,2019,905,7453,12.1,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,12.1,12.14,
Acinetobacter baumannii,ceftazidime,2019,905,7453,12.1,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,12.1,12.14,
Acinetobacter baumannii,ceftazidime,2020,546,6441,8.5,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,8.5,8.48,
Acinetobacter baumannii,ceftazidime,2020,546,6441,8.5,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,8.5,8.48,
Acinetobacter baumannii,ceftazidime,2020,546,6441,8.5,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,8.5,8.48,
Acinetobacter baumannii,ceftazidime,2021,890,10395,8.6,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,8.6,8.56,
Acinetobacter baumannii,ceftazidime,2021,890,10395,8.6,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,8.6,8.56,
Acinetobacter baumannii,ceftazidime,2021,890,10395,8.6,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,8.6,8.56,
Acinetobacter baumannii,ceftazidime,2022,1023,11197,9.1,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,9.1,9.14,
Acinetobacter baumannii,ceftazidime,2022,1023,11197,9.1,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,9.1,9.14,
Acinetobacter baumannii,ceftazidime,2022,1023,11197,9.1,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,9.1,9.14,
Acinetobacter baumannii,ceftazidime,2023,635,7260,8.7,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,8.7,8.75,
Acinetobacter baumannii,ceftazidime,2023,635,7260,8.7,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,8.7,8.75,
Acinetobacter baumannii,ceftazidime,2024,1081,10351,10.4,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,10.4,10.44,
Acinetobacter baumannii,colistin,2017,28,31,90.3,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,90.3,90.32,"label_footnote_asterisk,colistin_is_intermediate_susceptibility"
Acinetobacter baumannii,colistin,2017,28,31,90.3,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,90.3,90.32,"label_footnote_asterisk,colistin_is_intermediate_susceptibility"
Acinetobacter baumannii,colistin,2017,28,31,90.3,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,90.3,90.32,"label_footnote_asterisk,colistin_is_intermediate_susceptibility"
Acinetobacter baumannii,colistin,2018,36,38,94.7,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,94.7,94.74,"label_footnote_asterisk,colistin_is_intermediate_susceptibility"
Acinetobacter baumannii,colistin,2018,36,38,94.7,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,94.7,94.74,"label_footnote_asterisk,colistin_is_intermediate_susceptibility"
Acinetobacter baumannii,colistin,2018,36,38,94.7,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,94.7,94.74,"label_footnote_asterisk,colistin_is_intermediate_susceptibility"
Acinetobacter baumannii,colistin,2019,103,108,95.4,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,95.4,95.37,"label_footnote_asterisk,colistin_is_intermediate_susceptibility"
Acinetobacter baumannii,colistin,2019,103,108,95.4,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,95.4,95.37,"label_footnote_asterisk,colistin_is_intermediate_susceptibility"
Acinetobacter baumannii,colistin,2019,103,108,95.4,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,95.4,95.37,"label_footnote_asterisk,colistin_is_intermediate_susceptibility"
Acinetobacter baumannii,colistin,2020,91,94,96.8,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,96.8,96.81,"label_footnote_asterisk,colistin_is_intermediate_susceptibility"
Acinetobacter baumannii,colistin,2020,91,94,96.8,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,96.8,96.81,"label_footnote_asterisk,colistin_is_intermediate_susceptibility"
Acinetobacter baumannii,colistin,2020,91,94,96.8,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,96.8,96.81,"label_footnote_asterisk,colistin_is_intermediate_susceptibility"
Acinetobacter baumannii,colistin,2021,4553,4758,95.7,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,95.7,95.69,"label_footnote_asterisk,colistin_is_intermediate_susceptibility"
Acinetobacter baumannii,colistin,2021,4553,4758,95.7,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,95.7,95.69,"label_footnote_asterisk,colistin_is_intermediate_susceptibility"
Acinetobacter baumannii,colistin,2021,4553,4758,95.7,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,95.7,95.69,"label_footnote_asterisk,colistin_is_intermediate_susceptibility"
Acinetobacter baumannii,colistin,2022,7362,7700,95.6,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,95.6,95.61,"label_footnote_asterisk,colistin_is_intermediate_susceptibility"
Acinetobacter baumannii,colistin,2022,7362,7700,95.6,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,95.6,95.61,"label_footnote_asterisk,colistin_is_intermediate_susceptibility"
Acinetobacter baumannii,colistin,2022,7362,7700,95.6,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,95.6,95.61,"label_footnote_asterisk,colistin_is_intermediate_susceptibility"
Acinetobacter baumannii,colistin,2023,4914,4970,98.9,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,98.9,98.87,"label_footnote_asterisk,colistin_is_intermediate_susceptibility"
Acinetobacter baumannii,colistin,2023,4914,4970,98.9,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,98.9,98.87,"label_footnote_asterisk,colistin_is_intermediate_susceptibility"
Acinetobacter baumannii,colistin,2024,5194,5331,97.4,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,97.4,97.43,"label_footnote_asterisk,colistin_is_intermediate_susceptibility"
Acinetobacter baumannii,imipenem,2017,501,3346,15.0,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,15.0,14.97,
Acinetobacter baumannii,imipenem,2017,501,3346,15.0,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,15.0,14.97,
Acinetobacter baumannii,imipenem,2017,501,3346,15.0,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,15.0,14.97,
Acinetobacter baumannii,imipenem,2018,818,4517,18.1,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,18.1,18.11,
Acinetobacter baumannii,imipenem,2018,818,4517,18.1,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,18.1,18.11,
Acinetobacter baumannii,imipenem,2018,818,4517,18.1,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,18.1,18.11,
Acinetobacter baumannii,imipenem,2019,1098,7272,15.1,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,15.1,15.1,
Acinetobacter baumannii,imipenem,2019,1098,7272,15.1,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,15.1,15.1,
Acinetobacter baumannii,imipenem,2019,1098,7272,15.1,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,15.1,15.1,
Acinetobacter baumannii,imipenem,2020,744,6702,11.1,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,11.1,11.1,
Acinetobacter baumannii,imipenem,2020,744,6702,11.1,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,11.1,11.1,
Acinetobacter baumannii,imipenem,2020,744,6702,11.1,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,11.1,11.1,
Acinetobacter baumannii,imipenem,2021,1445,11934,12.1,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,12.1,12.11,
Acinetobacter baumannii,imipenem,2021,1445,11934,12.1,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,12.1,12.11,
Acinetobacter baumannii,imipenem,2021,1445,11934,12.1,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,12.1,12.11,
Acinetobacter baumannii,imipenem,2022,1456,11918,12.2,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,12.2,12.22,
Acinetobacter baumannii,imipenem,2022,1456,11918,12.2,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,12.2,12.22,
Acinetobacter baumannii,imipenem,2022,1456,11918,12.2,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,12.2,12.22,
Acinetobacter baumannii,imipenem,2023,745,7260,10.3,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,10.3,10.26,
Acinetobacter baumannii,imipenem,2023,745,7260,10.3,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,10.3,10.26,
Acinetobacter baumannii,imipenem,2024,826,9852,8.4,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,8.4,8.38,
Acinetobacter baumannii,levofloxacin,2017,886,3040,29.1,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,29.1,29.14,
Acinetobacter baumannii,levofloxacin,2017,886,3040,29.1,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,29.1,29.14,
Acinetobacter baumannii,levofloxacin,2017,886,3040,29.1,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,29.1,29.14,
Acinetobacter baumannii,levofloxacin,2018,959,4047,23.7,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,23.7,23.7,
Acinetobacter baumannii,levofloxacin,2018,959,4047,23.7,2023,Table 4.3,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-26,23.7,23.7,
Acinetobacter baumannii,levofloxacin,2018,959,4047,23.7,2024,Table 3.6,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-26,23.7,23.7,
Acinetobacter baumannii,levofloxacin,2019,1500,7841,19.1,2022,Table 5.6,https://www.icmr.gov.in/icmrobject/custom_data/pdf/resource-guidelines/AMRSN_Annual_Report_2022.pdf,2026-08-26,19.1,19.13,
